WORD_SLOT1	WORD_SLOT2
белая	бумага
чист	слеза
чистыми	стеклышко
голым	сокол
стара	мир
алый	кровь
бледное	полотно
страшная	медуза
страшная	медуза
необходимо	воздух
проста	праздник
гибка	тростник
довольный	слон
нежна	цветочек
довольный	слон
чист	слеза
чистой	слеза
необходимы	воздух
чёрным	смоль
коварный	волк
лёгонькие	пушинка
стара	мир
старо	мир
стар	мир
белым	мука
старого	мир
необходимы	воздух
силен	бык
извилист	каракуль
старо	мир
тупая	валенок
доволен	слон
бел	снег
бел	снег
свободна	птица
свободна	птица
свободна	птица
свободна	птица
свободна	птица
свободна	птица
изменчив	черт
недостижимо	солнце
довольный	слон
стары	мир
липкие	карамель
разукрашенная	кукла
деятельная	пчела
неуклюж	слон
довoльный	слон
гладкая	кость
старо	мир
стары	мир
проста	сноуборд
сухие	солома
раздутые	вата
необходима	воздух
живучий	кошка
гладкой	зеркало
бледная	смерть
счастлива	суслик
белые	снег
белое	снег
вольна	птица
вольна	птица
твердыми	скала
черных	смоль
доволен	слон
старой	мир
многогранна	бриллиант
черными	смоль
нужны	воздух
древняя	мир
выжатый	лимон
жестким	подметка
спокоен	удав
наглый	танк
сладкими	пастила
довольна	удав
прозрачны	хрусталь
стары	мир
чистые	хрусталь
стары	мир
твёрдым	сталь
грубое	доска
доволен	слон
стара	сноуборд
ярких	букет
стар	мир
красный	рак
мокрым	мышь
тягучим	смола
мудрой	мать-земля
твердыми	камень
старых	мир
одинокий	король
необходима	вода
страшный	чудо-юдо
тягучим	жвачка
стара	мир
доволен	слон
белыми	свет
черные	уголь
красное	кровь
древним	мир
бодрый	огурчик
прямая	стрела
стара	мир
легки	перышко
гибки	лоза
необходима	воздух
доволен	слон
шершавым	наждачка
плоскими	лист
старо	мир
выжитыми	лимон
тонкими	бумага
стара	мир
ласков	котенок
древний	мир
старая	мир
тупой	стол
тоненький	тростинка
необходимы	воздух
блудлив	кот
труслив	заяц
блудлив	кот
труслив	заяц
наглый	обезьяна
старых	мир
доволен	слон
стара	мир
нужны	воздух
сухой	стеклышко
чист	младенец
голубой	небо
зелёный	листва
прозрачное	стекло
холодной	лёд
красив	бог
тонкие	бумага
мягкий	пух
твердый	кость
холодный	сталь
глубокими	небо
доволен	слон
звонкого	лед
суетлив	муравейник
крепкий	хвост у моржа
стар	мир
довольный	слон
необходим	воздух
довольная	слон
веселый	бабка с семечками
суетлив	муравейник
красивая	кукла
доволен	слон
старому	мир
старо	мир
доволен	кот
черный	нефть
мудр	друид
стары	мир
надежна	скала
выжатый	лимон
нужна	воздух
необходимая	воздух
инфантилен	ребенок
бледен	смерть
яркая	солнышко
красным	рак
белый	мел
слеп	щенок
тупой	дятел
твердым	камень
зеленой	лоза
длинный	жердь
стары	мир
прозрачное	слеза
необходим	воздух
текучая	вода
старо	мир
нужного	воздух
жидкий	вода
натянутой	струна
пустая	ведро
стройной	газель
быстрая	ветер
холодный	лед
яркий	солнце
бездонных	океан
белых	снег
загадочный	ночь
страшна	смерть
драная	хвост у твоей собаки
стара	мир
старая	мир
старо	мир
благодушен	слон
белой	снег
белый	мел
смелый	лев
черный	смоль
нужен	воздух
горькая	коньяк
пенистая	шампанское
сладкая	персик
сладкая	персик
пенистая	шампанское
горькая	коньяк
яркая	оперение колибри
элегантная	цветок орхидеи
быстрые	молния
холодна	рыба
легки	пенопласт
пьян	свинья
дырявые	решето
твердая	орёх
вечная	мир
ясен	день
твердый	камень
нежный	ребенок
древним	мир
черная	смоль
призрачным	тень
старого	мир
стары	мир
старой	мир
тупа	пробка
белом	снег
мягкий	пух
древняя	мир
пьян	сапожник
синими	океан
доволен	слон
трезв	стекло
черный	пистолет
выжата	лимон
упрям	баран
прост	жизнь
воздушный	вуаль
худая	щепка
горячим	вулкан
твёрдый	сталь
твердый	камень
старого	мир
загадочный	ночь
загадочный	ночь
загадочный	ночь
загадочный	ночь
загадочный	ночь
острые	стрела
злой	черт
злой	черт
прозрачная	слеза
тоненьким	шёлк
черные	уголь
стары	мир
сладка	сахар
черных	смоль
белом	снег
старый	мир
худой	щепка
вогнутый	миска
прямая	струна
здоров	огурчик
здоров	огурец
черного	смоль
сладкая	сахар
тоненькие	ниточка
чист	стеклышко
старо	мир
острым	бритва
старо	мир
маленький	песчинка
доволен	слон
трезвый	стеклышко
хмурый	туча
твердым	доска
стары	мир
старая	мир
старый	мир
простой	кувалда
хитрым	лиса
внезапным	леопард
нужного	воздух
разные	небо и земля
слабы	цыпленок
твердой	камень
старая	мир
мудрым	дракон
огромной	небо
стар	мир
важен	воздух
стара	мир
старо	мир
рассыпчатая	пух
черна	уголь
чёрной	нефть
доволен	слон
плоская	доска
глубокие	море
тихая	мышь
довольна	слон
старая	мир
стары	мир
стары	мир
белый	мел
быстрого	ветер
холодными	лед
необходима	воздух
древним	мир
здоров	бык
необходима	хлеб
необходмым	воздух
сморщенная	гриб
тощая	скелет
страшный	черт
свободна	птица
резкие	понос
резкие	понос
надежный	скала
голоден	волк
упрям	осел
черные	ад
черные	смоль
стара	мир
влюблена	кошка
ветреный	француз
пытливый	англичанин
белого	снег
худая	палка
жирная	боров
жирная	боров
старо	мир
довольна	слон
прямому	стрела
нужна	воздух
нужны	воздух
легкой	воздух
доволен	слон
белой	снег
твердый	скала
мягкая	пух
твердых	камень
старые	мир
нужна	воздух
прямых	стрела
стар	мир
злой	собака
древнюю	говно
довольна	слон
стары	мир
злая	собака
здоровый	бык
элегантный	цветок лилии
чиста	вода
здоров	бык
закланный	агнец
синие	море
нужна	воздух
старо	мир
здоровый	бык
необходима	воздух
необходима	воздух
стара	мир
трезв	стеклышко
блудив	кот
твердый	камень
гладкое	зеркало
хрупкий	стекло
твердый	алмаз
необходим	воздух
простой	полено
ярких	букет
голодной	волк
злой	собака
малиновый	рак
прямая	стрела
игривой	котенок
наглая	танк
доволен	удав
черствый	камень
важна	воздух
твердыми	камень
тяжелое	железо
гладкая	шелк
заспанный	медведь
естественным	дыхание
выжатый	лимон
выжатая	лимон
стара	мир
колючая	ёж
сладкого и прилипчивого	пастила
древняя	мир
жесткий	камень
белой	снег
холодна	лед
ажурные	кружево
необходимым	воздух
простоватый	шкаф
стар	мир
легкий	перышко
стара	мир
прост	трактор
прочным	дерево
стёкл	трезвышко
холодного	лед
честен	топор
тверда	скала
прозрачная	слеза
черные	сажа
доволен	слон
бесконечен	океан
холодный	лед
острых	лезвие
длинный	жердь
твёрдые	дерево
красная	кровь
холодной	кафель
здоров	бык
слеп	крот
глух	пень
гол	ню
сух	дым
мохнатой	як-истребитель
выжатым	лимон
лысый	коленка
тяжелой	камень
спокойна	удав
прозрачный	дуновение
нема	рыба
естественного	дыхание
нужна	воздух
белые	снег
старый	мир
накачаный	бык
крепкая	броня
доволен	слон
белые	снег
чистой	слеза
худющая	скелет
здоров	сволочь
здоровый	трактор
довольна	слон
быстрая	стрела
легкими	пушинка
белом	снег
густые	каша
здорова	космонавт
гол	сокол
довольна	слон
беззлобным	дитя
горячим	тибет
тощие	пух
пустой	штука
спокойные	тина
зол	лев
живуч	боров
довольная	слон
прост	кирпич
доволен	слон
древний	мир
довольна	слон
неповоротлив	слон
твердым	кусок
твердая	кусок
чёрные	смоль
черным	подрясник
красив	цветок
невинная	младенец
проста	карандаш
тверда	кремень
старо	мир
длинный	змей
стара	мир
трезвый	стекло
алый	кровь
ровного	стрела
стара	мир
довольна	слон
стары	мир
мокрая	мышь
крепки	сталь
прозрачен	слеза
плоская	доска
плоская	доска
необходим	воздух
прост	табурет
проста	апельсин
добрая	ангел
здоров	бык
острыми	бритва
проворного	молния
стара	мир
тягучая	мед
голубого	небо
белый	снег
старо	мир
сухими	лес
рада	ребенок
чисты	стеклышко
хитрый	обезьяна
доволен	слон
нежная	цветок
твердой	базальт
свежа	слеза
желтый	солнышко
кротким	ягнёнок
стар	мир
непредсказуемое	погода весной
прозрачным	слеза
мокрой	лягуша
необходимы	воздух
черный	смола
горячими	кипяток
старый	мир
лёгкую	пёрышко
мягкие	шёлк
тихий	воздух
большой	вселенная
нагая	дерево без вишни
спокойны	удав
здоров	бык
старо	мир
стара	мир
проста	мир
черный	уголь
мощного	медведь
ревнивый	сука
брезглив	падла
упрям	бык
готов	пионер
нужны	воздух
надежный	гора эверест
острым	бритва
рада	слон
нужна	воздух
старый	мир
прозрачные	стекло
нужны	воздух
черные	смоль
холодная	рыба
естественна	дыхание
надежен	танк
красив	бог
чистый	кристалл
необходимы	глоток
простой	мясорубка
полезный	бутылка
довольна	удав
черные	смоль
красивы	бог
прекрасны	бог
злая	чёрт
важна	вода
довольная	слон
древняя	человечество
острого	нож
бледная	смерть
вытянуто	струна
нужно	дождь
свободным	пушинка
горячий	огонь
холодной	лед
сильна	смерть
белый-белый	сметана
старой	мир
рыжий	апельсин
бодрый	огурчик
выжатые	лимон
старый	мир
холодной	лед
старый	мир
силен	бык
старой	мир
доволен	слон
старо	мир
плоская	доска
легка	пепел
необходим	воздух
чистое	слеза
худ	жердь
доволен	слон
стар	мир
злая	чорт
стара	мир
загорелая	мулатка
довольна	слон
непреодолимой	рок
стар	мир
многогранны	жизнь
твердых	камень
свободен	ветер
нужна	воздух и вода
важна	воздух
твердой	камень
тупой	топор
старо	мир
безмолвны	отчаянье
стара	мир
довольный	слон
сладка	изюм
трезвы	стёклышко
глух	пень
старой	мир
бедные	голь перекатная
черный	смоль
здоров	бык
счастлив	младенец
старый	мир
нужны	воздух
ослепительная	солнце
ясная	луна
доволен	слон
прозрачный	слеза
вязким	смола
стара	мир
белыми	снег
ясный	день
верный	таблица умножения
темным	обезьянка
голоден	волк
белым	полотно
черными	смоль
пышная	роза
довольна	слон
черный	смоль
прозрачны	стекло
бледен	смерть
бледный	полотно
легкий	перышко
счастливый	миллионер
черный	ночь
черен	ночь
слабый	курица
рыхлые	печенье
гладкая	стекло
черной	смоль
быстрые	вечер
черные	смоль
простой	устав вооруженных сил
рад	слон
прекрасна	богиня
стара	мир
черной	смоль
холодна	лед
чистая	слеза
доволен	слон
доволен	слон
надежна	танк
старо	мир
добра	смерть
черна	мать
довольная	слон
старых	мир
горячие	солнышко
необходима	воздух
острых	огонь
выжатыми	лимон
стара	мир
каменная	скала
вечная	мир
рада	дитё малое
сладкий	мед
белым	пудра
прекрасный	звезда
свободна	ветер
нужна	воздух
старой	мир
свободен	птица
здоровый	бык
внезапная	шишка
доволен	слон
черный	ворон
старый	мир
необходима	воздух
старо	мир
стара	мир
стар	мир
жестки	проволока
голубыми	небо
белый	снег
нужны	воздух
тяжелый	марафон
острым	бритва
медлительны	черепаха
старым	мир
стройной	скелет
прямым	планка
тяжелые	дуб
мрачный	туча
черные	смоль
агрессивные	стая бешеных собак
бодренький	огурчик
горячий	печка
черные	смоль
белого	сметана
белы	снег
здоров	бык
слаба	тростиночка
белые	снег
стара	мир
нужна	хлеб и вода
толстой	кожа носорога
доволен	слон
необходимы	воздух
необходим	воздух
вечная	мир
чистую	алмаз
легкую	перышко
бледная	вампирша
невинен	младенец
черной	смоль
выжатым	лимон
белый	простыня
нужна	воздух
древний	мир
тонюсеньким	иголочка
тоненькие	ниточка
упрямый	осел
крепкая	бык
круглые	блин
доволен	слон
солёном	вобла
твердой	скала
прозрачная	слеза
доволен	слон
старо	мир
чист	стекло
старом	мир
доволен	мамонт
могущественный	бог
сухая	камень
живучая	кошка
необходим	воздух
пусты	дым
смелая	лебедь
прозрачные	вода
чист	слеза
прозрачная	стекло
стары	мир
стара	мир
доволен	слон
доволен	слон
твердым	камень
сухая	сухарь
суетлив	муравейник
довольна	слон
глупа	пробка
хитра	лисица
темная	ноча
мягкий	пух
здоров	бык
глуп	пень
умная	собака
гладкий	шелк
белой	снег
довольна	слон
твердой	доска
нужны	воздух
прямой	столб
старой	мир
стара	мир
нужна	воздух
старого	мир
стары	мир
доволен	слон
необходим	воздух
твёрдого	дерево
стара	мир
древний	мир
здоров	бык
яркой	солнце
красный	рак
необходимы	воздух
плоская	доска
острых	бритва
белый	снег
стара	мир
гладенький	яичко
бледная	смерть
прямой	стрела
довольна	слон
злой	собака
злой	волк
дряхлый и глухой	пень
болен	собака
сладким	запах лилий
стара	мир
совершенным	бог
острых	бритва
старо	мир
спокойный	удав
хлёсткое	выстрел
худой	щепка
важен	пеликан
здоров	бык
стары	мир
рада	слон
здорова	вода
богата	земля
белая	смерть
прочным	танк
нем	рыба
счастлив	ребенок
проста	мир
чистый	кристалл
живой	жизнь
сухая	пух
проста	мир
гладкие	шелк
стара	мир
хрупкую	стебелек
старая	мир
древний	мир
сильный	океан
таинственный	глубокое озеро
живой	жизнь
живой	жизнь
старый	мир
старой	мир
страшен	огонь
бледная	смерть
старо	мир
старо	мир
чистенький	слеза
чистое	слеза
белый	снег
бледный	поганка
доволен	слон
белой	снег
надежная	скала
гладкая	скала
доволен	слон
проста	мир
стара	древность
плоский	стол
сильна	смерть
сильна	смерть
сильна	смерть
спокоен	удав
стары	мир
пустой	барабан
бесконечна	жизнь
сильна	смерть
черный	уголь
влюблен	мальчишка
здоров	лошадь
мягкий	воск
светел	дитя
доволен	слон
плоским	доска
резок	щелчок кнута
тонкие	ниточка
прямые	стрела
острых	лезвие
подвижная	ртуть
легкий	воздух
твердый	скала
живой	жизнь
живой	жизнь
живой	жизнь
безобразный	истина
бледного	поганка
прямая	луч
доволен	слон
довольная	слон
неподвижным	скала
доволен	слон
старо	мир
старо	мир
старых	мир
старо	мир
стара	мир
простой	угол дома
беспомощен	ребенок
черная	смоль
красный	рак
белая	смерть
плоской	стол
короткой	выстрел
простых	пень
неподвижен	скала
ласковым	телёнок
точна	молния
готов	штык
бледная	смерть
прозрачная	слеза
острый	монблан
просты	мир
мягкой	павлинье горло
узкий	футляр
радостен	ребенок
стара	мир
живой	жизнь
живой	жизнь
сладкая	мед
сладкой	мед
желанной	мед
горячая	утюг
доволен	слон
нужен	воздух
доволен	слон
довольна	слон
старые	жизнь
черный	смоль
черная	ночь
чистое	слеза
узкий	острие
сладка	вино
вечной	лестница
довольный	слон
чиста	слеза
стара	мир
выжатая	лимон
черным	сажа
легким	пушинка
невозмутимый	рептилия
бледная	смерть
тощий	щепка
белые	снег
тверда	алмаз
выжата	лимон
легкой	перышко
холодные	смерть
доволен	слон
прямые	стрела
довольная	слон
довольная	слон
чистое	лён
старо	брак
необходима	воздух
кристальная	сколок айсберга
стары	мир
крепка	дерево
острые	лед
прозрачный	слеза
старо	мир
доволен	слон
черствой	камень
старая	мир
гладкая	зеркало
твердых	камень
черен	смоль
доволен	ребенок
необходимы	воздух
черный	уголь
длинный	жердина
острому	бритва
старо	мир
белые	снег
стара	мир
стара	мир
красную	вино
оранжевую	апельсин
чистейшая	зеркало
толстый	шар
выжатый	лимон
мягкие	шелк
бледным	простыня
тяжелым	железо
стара	мир
прозрачный	хрусталь
нужны	воздух
легкой	ветер
счастлива	паровоз
вольны	ветер
доволен	слон
изменчивый	ветер
вкусный	человечина
доволен	слон
острым	меч
простого	карандаш
загорелая	шоколад
трезвым	стеклышко
горька	полынь
древний	мир
старая	мир
разряженным	кукла
чист	агнец
белый	смерть
старый	мир
стара	мир
мокрой	лягуша
белыми	свет
прозрачными	стекло
свободны	ветер
тупой	пробка
легкий	перышко
чёрные	мрак
довольна	слон
остер	бритва
нужна	воздух
бледен	мертвец
тверд	алмаз
холодными	лед
нежной	пух
холодна	лед
смирная	овечка
простых	палка
тощий	шепка
гладкой	шелк
верным	собака
сильным	мул
белой	снег
гибкие	резина
простое	топор
белой	снег
бледная	смерть
черного	смоль
мягкой	пух
красный	рак
стара	мир
бледное	болото
холоден	лед
черных	смоль
выжаты	лимон
стара	мир
сильного	железо
стройная	тростинка
красная	кровь
прекрасный	звезда
необходимы	воздух
чисты	слеза
воздушный	пачка
тверда	камень
прямым	палка
воздушная	зефир
доволен	слон
нем	рыба
довольная	удав
толстый	боров
довольная	слон
белый	снег
острый	бритва
твердой	алмаз
стара	мир
бледный	смерть
тончайшую	паутина
белые	снег
красный	кровь
стара	мир
прямой	стрела
старо	мир
черными	смоль
довольная	слон
спокойная	слон
стара	мир
старо	мир
легкой	пушинка
голубые	небо
стара	мир
проста	пень
стара	мир
гладкой	шелк
старо	мир
старый	мир
белые	снег
пустая	вата
твердая	камень
твердыми	камень
стары	мир
черной	смоль
стара	мир
мягкой	шелк
длинный	корабль
злая	собака
страшная	смерть
чёрные	ночь
серьезен	рак
нужен	воздух
старо	мир
худым	щепка
живой	жизнь
живой	жизнь
спокоен	танк
бледна	смерть
белый	ангел
нужны	воздух
прочной	бревно
рыхлым	медуза
ловкого	ягуар
скользкая	лед
неповоротлив	носорог
древний	человечество
необходима	воздух
надежен	скала
стар	мир
тверды	камень
зелёный	трава
синий	ночное небо 
красный	тревога
нужны	воздух
быстрые	молния
быстрые	молния
невинна	щеночек
лохматым	абориген
здоровая	лошадь
стройна	тополь
белых	снег
ровной	бревно
воздушная	суфле
стар	мир
черный	жук
бледных	полотно
рад	слон
стара	мир
гладкую	спокойствие
промезшая	бетон
красив	бог
тонка	паутина
блестящий	золото
скрюченная	буква
чудный	заря
тощий	спичка
слеп	крот
выжатый	лимон
туп	пробка
вечная	мир
стар	мир
необходимы	вода
красный	рак
свободны	ветер
нужны	воздух
здоров	бык
невинен	дитя
мягкого	глина
довольный	слон
выжатый	лимон
гигантские	парус
стар	мир
чистую	слеза
черной	смоль
гладкая	кость
надежный	молоток
старо	мир
легкая	бабочка
доволен	слон
голый	сокол
стройной	осина
упитанной	груша
хрупким	стекло
стройна	берёзка
устойчив	дуб
доверчивого	ребенок
необходим	воздух
старая	мир
прозрачен	стекло
чистой	слеза
слабым	тряпка
гладкая	шёлк
острые	бритва
белая	простыня
доверчивым	студентка
важны	вода
плоский	блин
довольна	слон
сильный	лев
белым	снег
доволен	слон
прозрачным	вода
довольна	слон
прост	топор
свободный	ветер
холодный	лёд
нужен	воздух
стара	мир
тупой	осёл
живой	жизнь
постоянен	скала
могучая	слон
зол	собака
легкой	дуновение
стара	мир
кроток	ягненок
кроток	ягненок
слеп	ягненок новорожденный котенок 
надежный	кувалда
огромна	море
любопытен	ребенок
старой	мир
стара	мир
мягкой	бархат
гладкой	бархат
давольна	паравоз
старой	мир
старом	мир
глупа	пёс
стары	мир
стара	мир
мягким	воск
слепа	крот
доволен	слон
нужна	воздух
стара	мир
живой	жизнь
упрямый	баран
гладкие	зеркало
нужны	воздух
чиста	слеза
стары	мир
глупый	пробка
нужны	воздух
черными	смоль
мягкие	облако
старой	мир
старые	мир
стара	мир
ровные	зеркало
мелкий	пыль
могуч	дерево
старые	мир
доволен	слон
стара	мир
яркие	карнавал
тонкий	спичка
стар	мир
свеженький	огурчик
вольна	птица
прекрасна	цветок лотоса
счастлива	слон
белый	полотно
неприступный	скала
старом	мир
вечные	земля
трердая	кость
стара	мир
старо	человечество
белые	снег
твердые	камень
старо	мир
необходим	воздух
легкий	перышко
стара	мир
твердая	камень
извилисты	спираль
стройная	газель
белой	снег
стара	мир
стара	мир
нужна	воздух
старого	мир
старо	мир
старых	мир
нужны	воздух
бесконечным	мир
черного	смоль
нужны	воздух
нужен	воздух
влюблена	кошка
упёртым	трактор
туп	пробка
шустрый	вжик
старо	мир
тверды	сталь
теплая	любовь
загадочная	мираж
старый	мир
нужны	воздух
необходимы	воздух
доволен	слон
нужен	жизнь
доволен	слон
вечное	жизнь
доволен	слон
худым	жердь
стара	мир
сухой	песок
прямой	стрела
доволен	слон
стара	мир
старо	мир
красный	рак
красный	рак
тверд	железо
красной	рак
нужна	воздух
заняты	пчелка
стара	мир
упрямый	осел
доволен	слон
спокойный	слон
проворному	понос
старо	мир
забугорный	чёрт
тонкой	тростинка
надежен	холод
несокрушим	пламя
стары	мир
стара	мир
простое	дверь
нежная	шелк
доволен	слон
старо	мир
стар	мир
доволен	слон
довоьна	слон
доволен	слон
вялая	вафля
доволен	слон
прост	топор
стара	мир
шершавой	терка
важна	воздух
доволен	слон
тоненькое	паутинка
белыми	молоко
старый	мир
грязный	черт
прозрачные	стекло
крепкой	бетон
ласковый	котенок
большой	медведь
